,year,month,weekday,total,pedestrian,motorist,cyclist
132,2014,Apr,Sun,0,0,0,0
133,2014,Aug,Mon,0,0,0,0
134,2014,Aug,Tue,0,0,0,0
135,2014,Aug,Wed,0,0,0,0
136,2014,Aug,Thu,1,1,0,0
137,2014,Aug,Fri,1,1,0,0
138,2014,Aug,Sat,0,0,0,0
139,2014,Aug,Sun,1,0,1,0
140,2014,Dec,Mon,1,0,1,0
141,2014,Dec,Tue,1,1,0,0
142,2014,Dec,Wed,0,0,0,0
143,2014,Dec,Thu,0,0,0,0
144,2014,Dec,Fri,0,0,0,0
145,2014,Dec,Sat,1,0,1,0
146,2014,Dec,Sun,0,0,0,0
147,2014,Feb,Mon,0,0,0,0
148,2014,Feb,Tue,0,0,0,0
149,2014,Feb,Wed,0,0,0,0
150,2014,Feb,Thu,0,0,0,0
151,2014,Feb,Fri,0,0,0,0
152,2014,Feb,Sat,0,0,0,0
153,2014,Feb,Sun,1,1,0,0
154,2014,Jan,Mon,0,0,0,0
155,2014,Jan,Tue,0,0,0,0
156,2014,Jan,Wed,0,0,0,0
157,2014,Jan,Thu,0,0,0,0
158,2014,Jan,Fri,2,1,1,0
159,2014,Jan,Sat,0,0,0,0
160,2014,Jan,Sun,1,0,1,0
161,2014,Jul,Mon,0,0,0,0
162,2014,Jul,Tue,0,0,0,0
163,2014,Jul,Wed,2,1,1,0
164,2014,Jul,Thu,0,0,0,0
165,2014,Jul,Fri,2,0,2,0
166,2014,Jul,Sat,1,1,0,0
167,2014,Jul,Sun,1,0,1,0
168,2014,Jun,Mon,1,1,0,0
169,2014,Jun,Tue,0,0,0,0
170,2014,Jun,Wed,0,0,0,0
171,2014,Jun,Thu,0,0,0,0
172,2014,Jun,Fri,0,0,0,0
173,2014,Jun,Sat,0,0,0,0
174,2014,Jun,Sun,0,0,0,0
175,2014,Mar,Mon,0,0,0,0
176,2014,Mar,Tue,0,0,0,0
177,2014,Mar,Wed,1,0,1,0
178,2014,Mar,Thu,0,0,0,0
179,2014,Mar,Fri,0,0,0,0
180,2014,Mar,Sat,0,0,0,0
181,2014,Mar,Sun,2,0,2,0
182,2014,May,Mon,2,0,2,0
183,2014,May,Tue,0,0,0,0
184,2014,May,Wed,0,0,0,0
185,2014,May,Thu,1,1,0,0
186,2014,May,Fri,0,0,0,0
187,2014,May,Sat,0,0,0,0
188,2014,May,Sun,2,0,2,0
189,2014,Nov,Mon,0,0,0,0
190,2014,Nov,Tue,0,0,0,0
191,2014,Nov,Wed,0,0,0,0
192,2014,Nov,Thu,1,0,1,0
193,2014,Nov,Fri,0,0,0,0
194,2014,Nov,Sat,1,1,0,0
195,2014,Nov,Sun,0,0,0,0
196,2014,Oct,Mon,0,0,0,0
197,2014,Oct,Tue,0,0,0,0
198,2014,Oct,Wed,0,0,0,0
199,2014,Oct,Thu,0,0,0,0
200,2014,Oct,Fri,1,1,0,0
201,2014,Oct,Sat,0,0,0,0
202,2014,Oct,Sun,0,0,0,0
203,2014,Sep,Mon,0,0,0,0
204,2014,Sep,Tue,2,0,2,0
205,2014,Sep,Wed,0,0,0,0
206,2014,Sep,Thu,2,0,2,0
207,2014,Sep,Fri,0,0,0,0
208,2014,Sep,Sat,0,0,0,0
209,2014,Sep,Sun,0,0,0,0
210,2015,Apr,Mon,0,0,0,0
211,2015,Apr,Tue,0,0,0,0
212,2015,Apr,Wed,0,0,0,0
213,2015,Apr,Thu,1,0,1,0
214,2015,Apr,Fri,0,0,0,0
215,2015,Apr,Sat,1,0,1,0
216,2015,Apr,Sun,1,0,1,0
217,2015,Aug,Mon,1,1,0,0
218,2015,Aug,Tue,0,0,0,0
219,2015,Aug,Wed,1,0,0,1
220,2015,Aug,Thu,0,0,0,0
221,2015,Aug,Fri,0,0,0,0
222,2015,Aug,Sat,1,0,1,0
223,2015,Aug,Sun,0,0,0,0
224,2015,Dec,Mon,1,1,0,0
225,2015,Dec,Tue,2,1,1,0
226,2015,Dec,Wed,1,0,1,0
227,2015,Dec,Thu,0,0,0,0
228,2015,Dec,Fri,0,0,0,0
229,2015,Dec,Sat,0,0,0,0
230,2015,Dec,Sun,2,1,1,0
231,2015,Feb,Mon,0,0,0,0
232,2015,Feb,Tue,0,0,0,0
233,2015,Feb,Wed,1,0,1,0
234,2015,Feb,Thu,0,0,0,0
235,2015,Feb,Fri,0,0,0,0
236,2015,Feb,Sat,0,0,0,0
237,2015,Feb,Sun,0,0,0,0
238,2015,Jan,Mon,2,1,1,0
239,2015,Jan,Tue,0,0,0,0
240,2015,Jan,Wed,1,0,1,0
241,2015,Jan,Thu,0,0,0,0
242,2015,Jan,Fri,0,0,0,0
243,2015,Jan,Sat,1,1,0,0
244,2015,Jan,Sun,1,1,0,0
245,2015,Jul,Mon,1,0,0,1
246,2015,Jul,Tue,0,0,0,0
247,2015,Jul,Wed,4,1,3,0
248,2015,Jul,Thu,0,0,0,0
249,2015,Jul,Fri,0,0,0,0
250,2015,Jul,Sat,0,0,0,0
251,2015,Jul,Sun,1,0,1,0
252,2015,Jun,Mon,1,0,1,0
253,2015,Jun,Tue,1,0,1,0
254,2015,Jun,Wed,1,0,1,0
255,2015,Jun,Thu,1,0,1,0
256,2015,Jun,Fri,0,0,0,0
257,2015,Jun,Sat,0,0,0,0
258,2015,Jun,Sun,1,0,1,0
259,2015,Mar,Mon,2,1,1,0
260,2015,Mar,Tue,0,0,0,0
261,2015,Mar,Wed,0,0,0,0
262,2015,Mar,Thu,0,0,0,0
263,2015,Mar,Fri,2,2,0,0
264,2015,Mar,Sat,0,0,0,0
265,2015,Mar,Sun,0,0,0,0
266,2015,May,Mon,3,0,3,0
267,2015,May,Tue,2,0,2,0
268,2015,May,Wed,0,0,0,0
269,2015,May,Thu,0,0,0,0
270,2015,May,Fri,0,0,0,0
271,2015,May,Sat,0,0,0,0
272,2015,May,Sun,2,1,1,0
273,2015,Nov,Mon,1,0,1,0
274,2015,Nov,Tue,0,0,0,0
275,2015,Nov,Wed,0,0,0,0
276,2015,Nov,Thu,1,1,0,0
277,2015,Nov,Fri,0,0,0,0
278,2015,Nov,Sat,0,0,0,0
279,2015,Nov,Sun,0,0,0,0
280,2015,Oct,Mon,0,0,0,0
281,2015,Oct,Tue,2,1,1,0
282,2015,Oct,Wed,1,0,1,0
283,2015,Oct,Thu,0,0,0,0
284,2015,Oct,Fri,0,0,0,0
285,2015,Oct,Sat,0,0,0,0
286,2015,Oct,Sun,0,0,0,0
287,2015,Sep,Mon,1,0,0,1
288,2015,Sep,Tue,0,0,0,0
289,2015,Sep,Wed,0,0,0,0
290,2015,Sep,Thu,0,0,0,0
291,2015,Sep,Fri,0,0,0,0
292,2015,Sep,Sat,1,0,1,0
293,2015,Sep,Sun,0,0,0,0
294,2016,Apr,Mon,1,1,0,0
295,2016,Apr,Tue,0,0,0,0
296,2016,Apr,Wed,0,0,0,0
297,2016,Apr,Thu,0,0,0,0
298,2016,Apr,Fri,0,0,0,0
299,2016,Apr,Sat,0,0,0,0
300,2016,Apr,Sun,0,0,0,0
301,2016,Aug,Mon,0,0,0,0
302,2016,Aug,Tue,0,0,0,0
303,2016,Aug,Wed,1,1,0,0
304,2016,Aug,Thu,0,0,0,0
305,2016,Aug,Fri,0,0,0,0
306,2016,Aug,Sat,0,0,0,0
307,2016,Aug,Sun,1,1,0,0
308,2016,Dec,Mon,0,0,0,0
309,2016,Dec,Tue,0,0,0,0
310,2016,Dec,Wed,0,0,0,0
311,2016,Dec,Thu,0,0,0,0
312,2016,Dec,Fri,0,0,0,0
313,2016,Dec,Sat,0,0,0,0
314,2016,Dec,Sun,1,0,1,0
315,2016,Feb,Mon,0,0,0,0
316,2016,Feb,Tue,0,0,0,0
317,2016,Feb,Wed,1,0,1,0
318,2016,Feb,Thu,0,0,0,0
319,2016,Feb,Fri,1,1,0,0
320,2016,Feb,Sat,0,0,0,0
321,2016,Feb,Sun,0,0,0,0
322,2016,Jan,Mon,1,0,1,0
323,2016,Jan,Tue,0,0,0,0
324,2016,Jan,Wed,0,0,0,0
325,2016,Jan,Thu,1,1,0,0
326,2016,Jan,Fri,0,0,0,0
327,2016,Jan,Sat,1,0,1,0
328,2016,Jan,Sun,1,1,0,0
329,2016,Jul,Mon,0,0,0,0
330,2016,Jul,Tue,0,0,0,0
331,2016,Jul,Wed,0,0,0,0
332,2016,Jul,Thu,1,0,1,0
333,2016,Jul,Fri,0,0,0,0
334,2016,Jul,Sat,0,0,0,0
335,2016,Jul,Sun,1,0,1,0
336,2016,Jun,Mon,1,1,0,0
337,2016,Jun,Tue,0,0,0,0
338,2016,Jun,Wed,0,0,0,0
339,2016,Jun,Thu,0,0,0,0
340,2016,Jun,Fri,1,0,1,0
341,2016,Jun,Sat,0,0,0,0
342,2016,Jun,Sun,1,0,1,0
343,2016,Mar,Mon,0,0,0,0
344,2016,Mar,Tue,0,0,0,0
345,2016,Mar,Wed,0,0,0,0
346,2016,Mar,Thu,0,0,0,0
347,2016,Mar,Fri,0,0,0,0
348,2016,Mar,Sat,0,0,0,0
349,2016,Mar,Sun,0,0,0,0
350,2016,May,Mon,0,0,0,0
351,2016,May,Tue,1,0,1,0
352,2016,May,Wed,0,0,0,0
353,2016,May,Thu,0,0,0,0
354,2016,May,Fri,0,0,0,0
355,2016,May,Sat,1,0,1,0
356,2016,May,Sun,1,0,1,0
357,2016,Nov,Mon,0,0,0,0
358,2016,Nov,Tue,2,2,0,0
359,2016,Nov,Wed,0,0,0,0
360,2016,Nov,Thu,0,0,0,0
361,2016,Nov,Fri,0,0,0,0
362,2016,Nov,Sat,0,0,0,0
363,2016,Nov,Sun,0,0,0,0
364,2016,Oct,Mon,0,0,0,0
365,2016,Oct,Tue,0,0,0,0
366,2016,Oct,Wed,0,0,0,0
367,2016,Oct,Thu,0,0,0,0
368,2016,Oct,Fri,1,1,0,0
369,2016,Oct,Sat,0,0,0,0
370,2016,Oct,Sun,0,0,0,0
371,2016,Sep,Mon,0,0,0,0
372,2016,Sep,Tue,0,0,0,0
373,2016,Sep,Wed,0,0,0,0
374,2016,Sep,Thu,0,0,0,0
375,2016,Sep,Fri,0,0,0,0
376,2016,Sep,Sat,0,0,0,0
377,2016,Sep,Sun,1,0,1,0
378,2017,Apr,Mon,0,0,0,0
379,2017,Apr,Tue,0,0,0,0
380,2017,Apr,Wed,0,0,0,0
381,2017,Apr,Thu,1,0,1,0
382,2017,Apr,Fri,0,0,0,0
383,2017,Apr,Sat,2,0,2,0
384,2017,Apr,Sun,1,0,1,0
385,2017,Aug,Mon,0,0,0,0
386,2017,Aug,Tue,0,0,0,0
387,2017,Aug,Wed,0,0,0,0
388,2017,Aug,Thu,0,0,0,0
389,2017,Aug,Fri,0,0,0,0
390,2017,Aug,Sat,0,0,0,0
391,2017,Aug,Sun,0,0,0,0
392,2017,Dec,Mon,0,0,0,0
393,2017,Dec,Tue,0,0,0,0
394,2017,Dec,Wed,0,0,0,0
395,2017,Dec,Thu,0,0,0,0
396,2017,Dec,Fri,0,0,0,0
397,2017,Dec,Sat,0,0,0,0
398,2017,Dec,Sun,2,1,1,0
399,2017,Feb,Mon,0,0,0,0
400,2017,Feb,Tue,0,0,0,0
401,2017,Feb,Wed,0,0,0,0
402,2017,Feb,Thu,0,0,0,0
403,2017,Feb,Fri,0,0,0,0
404,2017,Feb,Sat,0,0,0,0
405,2017,Feb,Sun,0,0,0,0
406,2017,Jan,Mon,1,1,0,0
407,2017,Jan,Tue,0,0,0,0
408,2017,Jan,Wed,0,0,0,0
409,2017,Jan,Thu,0,0,0,0
410,2017,Jan,Fri,0,0,0,0
411,2017,Jan,Sat,0,0,0,0
412,2017,Jan,Sun,2,1,1,0
413,2017,Jul,Mon,0,0,0,0
414,2017,Jul,Tue,0,0,0,0
415,2017,Jul,Wed,1,0,1,0
416,2017,Jul,Thu,0,0,0,0
417,2017,Jul,Fri,0,0,0,0
418,2017,Jul,Sat,1,1,0,0
419,2017,Jul,Sun,0,0,0,0
420,2017,Jun,Mon,0,0,0,0
421,2017,Jun,Tue,0,0,0,0
422,2017,Jun,Wed,0,0,0,0
423,2017,Jun,Thu,0,0,0,0
424,2017,Jun,Fri,0,0,0,0
425,2017,Jun,Sat,3,0,3,0
426,2017,Jun,Sun,0,0,0,0
427,2017,Mar,Mon,0,0,0,0
428,2017,Mar,Tue,0,0,0,0
429,2017,Mar,Wed,1,0,1,0
430,2017,Mar,Thu,1,1,0,0
431,2017,Mar,Fri,0,0,0,0
432,2017,Mar,Sat,0,0,0,0
433,2017,Mar,Sun,0,0,0,0
434,2017,May,Mon,0,0,0,0
435,2017,May,Tue,0,0,0,0
436,2017,May,Wed,0,0,0,0
437,2017,May,Thu,1,1,0,0
438,2017,May,Fri,0,0,0,0
439,2017,May,Sat,0,0,0,0
440,2017,May,Sun,0,0,0,0
441,2017,Nov,Mon,0,0,0,0
442,2017,Nov,Tue,0,0,0,0
443,2017,Nov,Wed,0,0,0,0
444,2017,Nov,Thu,1,0,1,0
445,2017,Nov,Fri,0,0,0,0
446,2017,Nov,Sat,1,0,1,0
447,2017,Nov,Sun,1,1,0,0
448,2017,Oct,Mon,0,0,0,0
449,2017,Oct,Tue,8,6,0,2
450,2017,Oct,Wed,0,0,0,0
451,2017,Oct,Thu,0,0,0,0
452,2017,Oct,Fri,1,0,1,0
453,2017,Oct,Sat,0,0,0,0
454,2017,Oct,Sun,0,0,0,0
455,2017,Sep,Mon,4,2,2,0
456,2017,Sep,Tue,0,0,0,0
457,2017,Sep,Wed,0,0,0,0
458,2017,Sep,Thu,0,0,0,0
459,2017,Sep,Fri,1,0,1,0
460,2017,Sep,Sat,0,0,0,0
461,2017,Sep,Sun,2,1,0,1
462,2018,Apr,Mon,0,0,0,0
463,2018,Apr,Tue,0,0,0,0
464,2018,Apr,Wed,0,0,0,0
465,2018,Apr,Thu,0,0,0,0
466,2018,Apr,Fri,0,0,0,0
467,2018,Apr,Sat,1,0,1,0
468,2018,Apr,Sun,0,0,0,0
469,2018,Aug,Mon,1,0,1,0
470,2018,Aug,Tue,0,0,0,0
471,2018,Aug,Wed,0,0,0,0
472,2018,Aug,Thu,0,0,0,0
473,2018,Aug,Fri,0,0,0,0
474,2018,Aug,Sat,1,0,1,0
475,2018,Aug,Sun,1,0,1,0
476,2018,Dec,Mon,0,0,0,0
477,2018,Dec,Tue,1,1,0,0
478,2018,Dec,Wed,1,1,0,0
479,2018,Dec,Thu,0,0,0,0
480,2018,Dec,Fri,0,0,0,0
481,2018,Dec,Sat,1,0,1,0
482,2018,Dec,Sun,0,0,0,0
483,2018,Feb,Mon,0,0,0,0
484,2018,Feb,Tue,0,0,0,0
485,2018,Feb,Wed,1,1,0,0
486,2018,Feb,Thu,0,0,0,0
487,2018,Feb,Fri,0,0,0,0
488,2018,Feb,Sat,1,0,1,0
489,2018,Feb,Sun,0,0,0,0
490,2018,Jan,Mon,1,0,1,0
491,2018,Jan,Tue,0,0,0,0
492,2018,Jan,Wed,0,0,0,0
493,2018,Jan,Thu,1,0,1,0
494,2018,Jan,Fri,0,0,0,0
495,2018,Jan,Sat,0,0,0,0
496,2018,Jan,Sun,0,0,0,0
497,2018,Jul,Mon,0,0,0,0
498,2018,Jul,Tue,0,0,0,0
499,2018,Jul,Wed,0,0,0,0
500,2018,Jul,Thu,0,0,0,0
501,2018,Jul,Fri,1,0,1,0
502,2018,Jul,Sat,1,0,1,0
503,2018,Jul,Sun,0,0,0,0
504,2018,Jun,Mon,0,0,0,0
505,2018,Jun,Tue,1,1,0,0
506,2018,Jun,Wed,0,0,0,0
507,2018,Jun,Thu,0,0,0,0
508,2018,Jun,Fri,1,0,1,0
509,2018,Jun,Sat,2,0,2,0
510,2018,Jun,Sun,1,1,0,0
511,2018,Mar,Mon,3,3,0,0
512,2018,Mar,Tue,0,0,0,0
513,2018,Mar,Wed,0,0,0,0
514,2018,Mar,Thu,0,0,0,0
515,2018,Mar,Fri,1,0,1,0
516,2018,Mar,Sat,0,0,0,0
517,2018,Mar,Sun,0,0,0,0
518,2018,May,Mon,0,0,0,0
519,2018,May,Tue,0,0,0,0
520,2018,May,Wed,0,0,0,0
521,2018,May,Thu,2,1,1,0
522,2018,May,Fri,0,0,0,0
523,2018,May,Sat,1,0,1,0
524,2018,May,Sun,1,0,1,0
525,2018,Nov,Mon,1,1,0,0
526,2018,Nov,Tue,0,0,0,0
527,2018,Nov,Wed,0,0,0,0
528,2018,Nov,Thu,1,0,1,0
529,2018,Nov,Fri,1,0,1,0
530,2018,Nov,Sat,0,0,0,0
531,2018,Nov,Sun,0,0,0,0
532,2018,Oct,Mon,0,0,0,0
533,2018,Oct,Tue,0,0,0,0
534,2018,Oct,Wed,0,0,0,0
535,2018,Oct,Thu,0,0,0,0
536,2018,Oct,Fri,0,0,0,0
537,2018,Oct,Sat,0,0,0,0
538,2018,Oct,Sun,0,0,0,0
539,2018,Sep,Mon,1,0,1,0
540,2018,Sep,Tue,1,0,1,0
541,2018,Sep,Wed,1,1,0,0
542,2018,Sep,Thu,0,0,0,0
543,2018,Sep,Fri,0,0,0,0
544,2018,Sep,Sat,0,0,0,0
545,2018,Sep,Sun,0,0,0,0
546,2019,Apr,Mon,0,0,0,0
547,2019,Apr,Tue,1,0,1,0
548,2019,Apr,Wed,0,0,0,0
549,2019,Apr,Thu,0,0,0,0
550,2019,Apr,Fri,0,0,0,0
551,2019,Apr,Sat,0,0,0,0
552,2019,Apr,Sun,0,0,0,0
553,2019,Aug,Mon,0,0,0,0
554,2019,Aug,Tue,0,0,0,0
555,2019,Aug,Wed,0,0,0,0
556,2019,Aug,Thu,0,0,0,0
557,2019,Aug,Fri,0,0,0,0
558,2019,Aug,Sat,1,1,0,0
559,2019,Aug,Sun,1,0,0,1
560,2019,Dec,Mon,1,1,0,0
561,2019,Dec,Tue,0,0,0,0
562,2019,Dec,Wed,1,1,0,0
563,2019,Dec,Thu,0,0,0,0
564,2019,Dec,Fri,0,0,0,0
565,2019,Dec,Sat,0,0,0,0
566,2019,Dec,Sun,1,0,1,0
567,2019,Feb,Mon,0,0,0,0
568,2019,Feb,Tue,1,1,0,0
569,2019,Feb,Wed,0,0,0,0
570,2019,Feb,Thu,0,0,0,0
571,2019,Feb,Fri,0,0,0,0
572,2019,Feb,Sat,0,0,0,0
573,2019,Feb,Sun,0,0,0,0
574,2019,Jan,Mon,0,0,0,0
575,2019,Jan,Tue,0,0,0,0
576,2019,Jan,Wed,0,0,0,0
577,2019,Jan,Thu,0,0,0,0
578,2019,Jan,Fri,0,0,0,0
579,2019,Jan,Sat,0,0,0,0
580,2019,Jan,Sun,1,0,1,0
581,2019,Jul,Mon,0,0,0,0
582,2019,Jul,Tue,1,0,1,0
583,2019,Jul,Wed,1,0,1,0
